1 1 1
1 2 0.7267875874
1 3 0.7980987975
1 4 0.7727653624
1 5 0.7920272368
1 6 0.7866862558
1 7 0.7777329858
1 8 0.7916273982
1 9 0.7525649463
1 10 0.7565662609
1 11 0.8515348438
1 12 0.7540726538
1 13 0.7600076973
1 14 0.7669192988
1 15 0.7768146935
1 16 0.7645295366
1 17 0.7627893057
1 18 0.7957995318
1 19 0.7885899593
1 20 0.7335762535
1 21 0.7456378588
1 22 0.7394513449
1 23 0.7401627481
1 24 0.7687046457
1 25 0.7454451571
1 26 0.7625258078
1 27 0.7560889882
1 28 0.7638644492
1 29 0.7469957034
1 30 0.4908926562
1 31 0.7939329141
1 32 0.7764672614
1 33 0.9057493066
1 34 0.7001743224
1 35 0.7024836448
1 36 0.7553970685
1 37 0.7471681678
1 38 0.7876368378
1 39 0.7843741373
1 40 0.8059168763
1 41 0.7812968603
1 42 0.7925861177
1 43 0.7546564932
1 44 0.7578557633
1 45 0.7648167888
1 46 0.7707077063
1 47 0.7903583568
1 48 0.7839833676
1 49 0.76887421
1 50 0.8024525239
1 51 0.7988307811
1 52 0.7998737462
1 53 0.7423887258
1 54 0.7306573526
1 55 0.7782279851
1 56 0.7865331894
1 57 0.8002113236
1 58 0.7901985139
1 59 0.8005403613
1 60 0.8192839504
1 61 0.7984997193
1 62 0.799911442
1 63 0.793596013
1 64 0.7853896095
1 65 0.8143032092
1 66 0.7873679362
1 67 0.584872014
1 68 0.6492461716
1 69 0.7506053799
1 70 0.4743507638
1 71 0.5570922541
1 72 0.7470444141
1 73 0.7226040823
1 74 0.8067265058
1 75 0.7929782679
1 76 0.739630713
1 77 0.8047283052
1 78 0.4951825438
1 79 0.5081551776
1 80 0.5126274417
1 81 0.4033479942
1 82 0.7891000788
1 83 0.5956618528
1 84 0.4925839196
1 85 0.414726582
1 86 0.3701739546
1 87 0.4034122827
1 88 0.4885545158
1 89 0.5043810676
1 90 0.2963712786
1 91 0.3169487043
1 92 0.4384128326
1 93 0.4644177477
1 94 0.7662870711
1 95 0.7594300311
1 96 0.7853175245
1 97 0.7244936215
1 98 0.4985830398
1 99 0.5068865215
2 1 0.7267875874
2 2 1
2 3 0.6961430789
2 4 0.6328317323
2 5 0.6683080032
